证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
603168.SH,603168,2,0.5,4.5,0.5,3,2.5,1.5,★★,☆,★★★★☆,☆,★★★,★★☆,★☆
603222.SH,603222,1.5,3,1.5,3.5,2,1,2.5,★☆,★★★,★☆,★★★☆,★★,★,★★☆
603309.SH,603309,2,1.5,3.5,1,3,2,0.5,★★,★☆,★★★☆,★,★★★,★★,☆
603368.SH,603368,5,5,3.5,1.5,3.5,5,2.5,★★★★★,★★★★★,★★★☆,★☆,★★★☆,★★★★★,★★☆
603456.SH,603456,1,1.5,2,1,2,2,0.5,★,★☆,★★,★,★★,★★,☆
603520.SH,603520,3.5,4.5,2,2,1.5,3.5,3.5,★★★☆,★★★★☆,★★,★★,★☆,★★★☆,★★★☆
603566.SH,603566,3,1,4.5,0.5,1.5,1.5,1.5,★★★,★,★★★★☆,☆,★☆,★☆,★☆
603567.SH,603567,3,3,3.5,1,1,2.5,2,★★★,★★★,★★★☆,★,★,★★☆,★★
603658.SH,603658,4.5,4.5,4.5,1,3.5,0.5,0.5,★★★★☆,★★★★☆,★★★★☆,★,★★★☆,☆,☆
603669.SH,603669,3.5,1.5,4.5,1,4,1.5,1,★★★☆,★☆,★★★★☆,★,★★★★,★☆,★
603718.SH,603718,1,2,2,2,0.5,0.5,2,★,★★,★★,★★,☆,☆,★★
603883.SH,603883,4.5,5,3,2.5,4,4.5,2.5,★★★★☆,★★★★★,★★★,★★☆,★★★★,★★★★☆,★★☆
603939.SH,603939,4.5,4.5,3,2,3.5,4,2,★★★★☆,★★★★☆,★★★,★★,★★★☆,★★★★,★★
603998.SH,603998,1.5,2,2,2,3,1.5,1,★☆,★★,★★,★★,★★★,★☆,★
