证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
002252.SZ,2252,0.5,0.5,1.5,1,5,4.5,1,☆,☆,★☆,★,★★★★★,★★★★☆,★
002262.SZ,2262,2.5,2.5,2.5,1.5,3.5,1.5,1.5,★★☆,★★☆,★★☆,★☆,★★★☆,★☆,★☆
002275.SZ,2275,4,1,5,0.5,3,1,2,★★★★,★,★★★★★,☆,★★★,★,★★
002287.SZ,2287,4,1.5,4.5,0.5,3,1,1.5,★★★★,★☆,★★★★☆,☆,★★★,★,★☆
002294.SZ,2294,3.5,3.5,4.5,0.5,1.5,2,2,★★★☆,★★★☆,★★★★☆,☆,★☆,★★,★★
002317.SZ,2317,3,2,4,1,2,1.5,1.5,★★★,★★,★★★★,★,★★,★☆,★☆
002332.SZ,2332,2,2.5,2,3,2.5,1.5,3,★★,★★☆,★★,★★★,★★☆,★☆,★★★
002349.SZ,2349,1.5,1.5,2,1.5,1.5,1,1.5,★☆,★☆,★★,★☆,★☆,★,★☆
002365.SZ,2365,3,2.5,4,1,2,1.5,0.5,★★★,★★☆,★★★★,★,★★,★☆,☆
002370.SZ,2370,2.5,1,4,1,3,1.5,2,★★☆,★,★★★★,★,★★★,★☆,★★
002382.SZ,2382,4.5,2,3.5,5,1,3,3.5,★★★★☆,★★,★★★☆,★★★★★,★,★★★,★★★☆
002390.SZ,2390,1.5,2.5,1.5,2.5,2,2,2,★☆,★★☆,★☆,★★☆,★★,★★,★★
002393.SZ,2393,4.5,3,4.5,0.5,1,5,1.5,★★★★☆,★★★,★★★★☆,☆,★,★★★★★,★☆
002399.SZ,2399,3.5,3.5,2,4.5,1,2,3,★★★☆,★★★☆,★★,★★★★☆,★,★★,★★★
002411.SZ,2411,2,3.5,2,2.5,1.5,2,2,★★,★★★☆,★★,★★☆,★☆,★★,★★
002412.SZ,2412,2,3,3,1.5,2,1.5,0.5,★★,★★★,★★★,★☆,★★,★☆,☆
002422.SZ,2422,4,4.5,2.5,2.5,2,4.5,3,★★★★,★★★★☆,★★☆,★★☆,★★,★★★★☆,★★★
002424.SZ,2424,2,2,3.5,1.5,2,0.5,1.5,★★,★★,★★★☆,★☆,★★,☆,★☆
002432.SZ,2432,0.5,0.5,1.5,1.5,1.5,2,1,☆,☆,★☆,★☆,★☆,★★,★
002433.SZ,2433,1.5,2.5,2,1.5,1,3,2,★☆,★★☆,★★,★☆,★,★★★,★★
002435.SZ,2435,2,2,2.5,1.5,2,2.5,1,★★,★★,★★☆,★☆,★★,★★☆,★
002437.SZ,2437,1.5,3,1.5,3,3,1,2,★☆,★★★,★☆,★★★,★★★,★,★★
002462.SZ,2462,4,4.5,2,2.5,4,4.5,2,★★★★,★★★★☆,★★,★★☆,★★★★,★★★★☆,★★
002550.SZ,2550,2,1,4,1,2,0.5,1.5,★★,★,★★★★,★,★★,☆,★☆
