证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
002626.SZ,002626,4.5,4.5,4.5,1.5,2.5,0.5,1.5
002644.SZ,002644,1.5,1.5,2.5,1.5,1.5,1.0,2.5
002653.SZ,002653,2.5,3.5,2.0,2.5,3.5,0.5,1.5
002675.SZ,002675,2.0,2.0,2.0,3.0,1.0,2.0,2.0
002680.SZ,002680,3.0,1.5,4.5,0.5,1.5,0.5,1.5
002688.SZ,002688,1.5,3.0,2.0,2.5,2.0,1.0,2.0
002693.SZ,002693,1.0,1.0,1.0,2.5,2.0,1.5,2.5
002727.SZ,002727,2.5,4.0,2.0,2.0,3.5,4.0,1.5
002728.SZ,002728,2.5,3.5,2.5,2.0,1.5,2.0,2.5
002737.SZ,002737,3.5,3.0,3.5,1.0,3.5,2.0,1.0
002750.SZ,002750,0.5,0.5,2.5,0.5,2.5,1.5,2.0
002755.SZ,002755,1.5,1.0,2.5,2.0,2.0,1.5,2.0
002758.SZ,002758,2.0,3.0,1.5,3.5,4.0,2.5,2.5
002773.SZ,002773,4.5,1.5,4.5,0.5,3.5,2.0,2.0
002788.SZ,002788,4.5,5.0,1.5,4.0,4.5,4.5,3.0
002817.SZ,002817,3.5,0.5,5.0,0.5,4.0,4.0,3.0
002821.SZ,002821,,,,,,,
002826.SZ,002826,,,,,,,
002864.SZ,002864,,,,,,,
002868.SZ,002868,,,,,,,
002872.SZ,002872,,,,,,,
002873.SZ,002873,,,,,,,
002880.SZ,002880,,,,,,,
002898.SZ,002898,,,,,,,
002900.SZ,002900,,,,,,,
002901.SZ,002901,,,,,,,
002907.SZ,002907,,,,,,,
002923.SZ,002923,,,,,,,
002932.SZ,002932,,,,,,,
002940.SZ,002940,,,,,,,
002950.SZ,002950,,,,,,,
200028.SZ,200028,,,,,,,
300003.SZ,300003,3.5,4.5,3.0,2.0,2.0,1.0,3.5
300006.SZ,300006,1.5,2.5,1.5,2.5,2.0,1.0,2.0
300009.SZ,300009,2.5,2.5,3.5,1.5,3.0,0.5,0.5
300015.SZ,300015,3.5,3.5,3.0,2.0,4.0,0.5,1.5
300016.SZ,300016,2.0,0.5,4.0,1.0,3.0,1.0,1.5
300026.SZ,300026,2.0,0.5,4.5,0.5,3.5,1.0,1.0
300030.SZ,300030,1.5,1.5,2.0,2.0,1.5,1.5,2.0
300039.SZ,300039,3.0,0.5,5.0,0.5,4.5,1.0,2.0
300049.SZ,300049,2.0,1.0,3.5,1.0,2.0,2.0,2.0
300086.SZ,300086,1.0,1.5,2.5,2.0,1.5,1.0,1.0
300108.SZ,300108,1.5,2.5,2.0,2.5,1.0,1.0,3.0
300110.SZ,300110,1.0,1.0,2.0,3.0,2.0,1.0,1.5
300119.SZ,300119,2.0,2.0,3.0,1.5,1.5,2.0,1.5
