证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
300026.SZ,300026,,,,,,,
300030.SZ,300030,,,,,,,
300039.SZ,300039,,,,,,,
300049.SZ,300049,,,,,,,
300086.SZ,300086,,,,,,,
300108.SZ,300108,,,,,,,
300110.SZ,300110,,,,,,,
300119.SZ,300119,,,,,,,
300122.SZ,300122,,,,,,,
300142.SZ,300142,,,,,,,
300143.SZ,300143,,,,,,,
300147.SZ,300147,,,,,,,
300149.SZ,300149,,,,,,,
300158.SZ,300158,,,,,,,
300181.SZ,300181,,,,,,,
300194.SZ,300194,,,,,,,
300199.SZ,300199,,,,,,,
300204.SZ,300204,,,,,,,
300206.SZ,300206,,,,,,,
300233.SZ,300233,,,,,,,
300238.SZ,300238,,,,,,,
300239.SZ,300239,,,,,,,
300244.SZ,300244,,,,,,,
300246.SZ,300246,,,,,,,
300253.SZ,300253,,,,,,,
300254.SZ,300254,,,,,,,
300255.SZ,300255,,,,,,,
300267.SZ,300267,,,,,,,
300273.SZ,300273,,,,,,,
300289.SZ,300289,,,,,,,
300294.SZ,300294,,,,,,,
300298.SZ,300298,,,,,,,
300314.SZ,300314,,,,,,,
300318.SZ,300318,,,,,,,
300326.SZ,300326,,,,,,,
300347.SZ,300347,,,,,,,
300357.SZ,300357,,,,,,,
300358.SZ,300358,,,,,,,
300363.SZ,300363,,,,,,,
300381.SZ,300381,,,,,,,
300396.SZ,300396,,,,,,,
300401.SZ,300401,,,,,,,
300404.SZ,300404,,,,,,,
300406.SZ,300406,,,,,,,
300434.SZ,300434,,,,,,,
300436.SZ,300436,,,,,,,
300439.SZ,300439,,,,,,,
300451.SZ,300451,,,,,,,
300452.SZ,300452,,,,,,,
300453.SZ,300453,,,,,,,
300463.SZ,300463,,,,,,,
300482.SZ,300482,,,,,,,
300485.SZ,300485,,,,,,,
300497.SZ,300497,,,,,,,
300519.SZ,300519,,,,,,,
300529.SZ,300529,,,,,,,
300534.SZ,300534,,,,,,,
